61,"サウンドスタジオM 一之江","東京都江戸川区西瑞江５丁目 オルフェウス・サウンドスタジオＭ一之江",35.6804733,139.8800733,"2019-01-14 06:38:40.891507","2019-01-14 06:38:40.891507",,,1,2017-07-09.jpg,ChIJU_bUWlmNGGARm6X0snXh7cQ
62,"レコーディングスタジオ オルフェウス小岩","東京都江戸川区西小岩１丁目２７−１６ オルフェウスビル",35.73532,139.882313,"2019-01-14 06:38:42.322253","2019-01-14 06:38:42.322253",,,1,,ChIJU_bUWlmNGGARNZgL9MJWNXg
63,"マザーハウスレコーディングスタジオ","東京都豊島区南大塚１丁目６０−４",35.730493,139.732837,"2019-01-14 06:38:56.447528","2019-01-14 06:38:56.447528",,,1,2018-06-16.jpg,ChIJXVTuMJ6NGGAR_jPZIpdgh30
64,"Sound Studio ２Times","東京都江戸川区南小岩８丁目１０−２",35.732296,139.884218,"2019-01-14 06:38:57.550185","2019-01-14 06:38:57.550185",,,1,2017-08-31.jpg,ChIJvffUWlmNGGARjl_cji2Tey0
65,"スタジオミュジック 幡ヶ谷店","東京都渋谷区幡ヶ谷１丁目２ 幡ケ谷スカイマンション",35.677148,139.677469,"2019-01-14 06:38:58.689823","2019-01-14 06:38:58.689823",,,1,h_loby.jpg,ChIJ60zoOzvzGGARXWsjOKK4SrY
66,"芝浦スタジオ","東京都港区海岸３丁目９−１８ 山田倉庫（株）芝浦倉庫",35.638293,139.753863,"2019-01-14 06:39:02.601592","2019-01-14 06:39:02.601592",,,1,22117_813257318740843_7781375130760655760_n.jpg,ChIJ170oRzaKGGARV7mEP6ZIlJU
67,"I.G.Oスタジオ","東京都荒川区西日暮里３丁目５−１",35.731969,139.766496,"2019-01-14 06:39:04.548192","2019-01-14 06:39:04.548192",,,1,unnamed.jpg,ChIJsebzn9CNGGAR3PLQ72FeM4k
68,"エーススタジオ","東京都品川区上大崎４丁目３−７ エーススタジオ",35.6328395,139.7153866,"2019-01-14 06:39:05.620340","2019-01-14 06:39:05.620340",,,1,2018-11-14.jpg,ChIJrbiJxx6LGGARhCP4bB6w15c
69,"GAMP SOUNDSTUDIO","東京都港区麻布十番３丁目１−８ ギャンプサウンドスタジオ",35.653094,139.736317,"2019-01-14 06:39:06.612672","2019-01-14 06:39:06.612672",,,1,Ast______.jpg,ChIJeenUcKGLGGAR22YziBa93ug
70,"Rinky Dink Studio 都立大","東京都目黒区平町１丁目２２−１５",35.617535,139.677579,"2019-01-14 06:39:07.615964","2019-01-14 06:39:07.615964",,,1,IMG_20180916_003351.jpg,ChIJ5QJgbtn0GGARUgN_1EDgJcI
